service_id,service_alias,source_type,source_run_dir,source_checkpoint_name,source_checkpoint_path,client_name,round_index,checkpoint_kind,category,original_client_id,functional_task_type,functional_input_modality,functional_input_shape,functional_output_type,functional_label_space,functional_label_count,functional_data_domain,functional_corruption_category,functional_num_samples,functional_class_distribution,train_loss,evaluation_split,evaluation_accuracy,latency_seconds,trial_evaluation_time_seconds,reliability_profile_time_seconds,profile_build_time_seconds,quality_factor,reliability_score,prediction_distribution,weights_file
clean1,clean1,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_1.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_1.pt,client_0,1,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.4564054235816002,test,0.9622,3.782932624999999,3.7857667920000004,0.30974308399999906,4.166801583000001,0.9621999999999999,0.9716201836051046,"[0.0966, 0.1212, 0.1074, 0.1044, 0.0926, 0.094, 0.0932, 0.0908, 0.0976, 0.1022]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean1.pt
clean2,clean2,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_2.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_2.pt,client_0,2,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.14667286306781613,test,0.9714,3.021644833,3.0220530840000013,0.3914197080000008,3.430145166999999,0.9713999999999998,0.9690095610208875,"[0.1042, 0.1174, 0.0974, 0.1002, 0.0976, 0.0894, 0.0892, 0.1024, 0.0956, 0.1066]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean2.pt
clean3,clean3,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_3.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_3.pt,client_0,3,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.09100155036329576,test,0.9646,2.7211145830000003,2.7216495419999998,0.2775125000000003,3.0182965000000017,0.9646000000000001,0.972708373400096,"[0.1, 0.129, 0.0972, 0.1018, 0.0936, 0.1004, 0.0952, 0.0956, 0.0876, 0.0996]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean3.pt
clean4,clean4,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_4.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_4.pt,client_0,4,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.07248727428605375,test,0.9764,2.8980978750000013,2.8983436250000025,0.2753579170000009,3.1917329589999994,0.9763999999999999,0.9713083980707983,"[0.0926, 0.1212, 0.1122, 0.1016, 0.1002, 0.0942, 0.0896, 0.0964, 0.0888, 0.1032]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean4.pt
clean5,clean5,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_5.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_5.pt,client_0,5,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.06414620650162839,test,0.9792,2.6200490840000015,2.620251624999998,0.2732962919999977,2.909683042000001,0.9792,0.9661826685326452,"[0.0928, 0.1202, 0.1018, 0.1, 0.0916, 0.09, 0.101, 0.1028, 0.1016, 0.0982]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean5.pt
clean6,clean6,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_6.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_6.pt,client_0,6,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.05355668898023989,test,0.98,2.511690167000001,2.5118962079999996,0.26343945800000057,2.790107250000002,0.9800000000000001,0.9726517364836246,"[0.0972, 0.1144, 0.1044, 0.099, 0.0994, 0.0872, 0.088, 0.1044, 0.1028, 0.1032]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean6.pt
clean7,clean7,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_7.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_7.pt,client_0,7,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.04802515186905942,test,0.983,2.717517000000001,2.7177202499999993,0.2861885419999979,3.018547833000003,0.9829999999999999,0.9719993758678376,"[0.1042, 0.1126, 0.106, 0.0968, 0.0994, 0.095, 0.0928, 0.0986, 0.0932, 0.1014]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean7.pt
clean8,clean8,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_8.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_8.pt,client_0,8,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.046726660291745284,test,0.9822,2.7547347920000007,2.755009915999999,0.4059140000000028,3.177274417000003,0.9822000000000001,0.9707900615535372,"[0.1036, 0.114, 0.0994, 0.102, 0.0916, 0.0872, 0.0956, 0.1006, 0.0978, 0.1082]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean8.pt
clean9,clean9,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_9.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_9.pt,client_0,9,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.04265560463840223,test,0.9844,2.6517931659999974,2.6530259590000043,0.354601499999994,3.029499874999999,0.9843999999999999,0.9877415293945769,"[0.0998, 0.1214, 0.1066, 0.0996, 0.1016, 0.09, 0.0908, 0.0968, 0.0946, 0.0988]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean9.pt
clean10,clean10,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0.pt,client_0,10,final_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.04130622320909701,test,0.9864,2.4672027499999984,2.4673919999999967,0.2885199589999985,2.793240499999996,0.9863999999999999,0.9673866482234463,"[0.0988, 0.1052, 0.1054, 0.099, 0.1024, 0.0962, 0.0958, 0.1036, 0.0946, 0.099]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean10.pt
clean11,clean11,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_0_round_10.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_0_round_10.pt,client_0,10,round_snapshot,clean,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11701,"{""0"": 474, ""1"": 4585, ""2"": 954, ""3"": 1043, ""4"": 623, ""5"": 1229, ""6"": 474, ""7"": 502, ""8"": 468, ""9"": 1349}",0.04130622320909701,test,0.9864,2.600733666999993,2.600949500000006,0.2708914170000014,2.892090707999998,0.9863999999999999,0.9673866482234463,"[0.0988, 0.1052, 0.1054, 0.099, 0.1024, 0.0962, 0.0958, 0.1036, 0.0946, 0.099]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean11.pt
clean12,clean12,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_1_round_1.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_1_round_1.pt,client_1,1,round_snapshot,clean,client_1,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,9016,"{""0"": 474, ""1"": 540, ""2"": 953, ""3"": 1042, ""4"": 1987, ""5"": 1229, ""6"": 474, ""7"": 501, ""8"": 468, ""9"": 1348}",0.5826559431955848,test,0.9658,2.406717625000006,2.406963333,0.2834975410000027,2.710581916999999,0.9658,0.9626483831277445,"[0.1022, 0.1158, 0.1106, 0.1036, 0.1, 0.0924, 0.0888, 0.096, 0.0888, 0.1018]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean12.pt
clean13,clean13,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_1_round_2.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_1_round_2.pt,client_1,2,round_snapshot,clean,client_1,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,9016,"{""0"": 474, ""1"": 540, ""2"": 953, ""3"": 1042, ""4"": 1987, ""5"": 1229, ""6"": 474, ""7"": 501, ""8"": 468, ""9"": 1348}",0.16270461699492494,test,0.974,3.0395273749999987,3.0398100840000026,0.31391733299999913,3.370541709000001,0.974,0.9626328706674577,"[0.1044, 0.1136, 0.0978, 0.1016, 0.0974, 0.089, 0.0876, 0.102, 0.104, 0.1026]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean13.pt
clean14,clean14,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_1_round_3.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_1_round_3.pt,client_1,3,round_snapshot,clean,client_1,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,9016,"{""0"": 474, ""1"": 540, ""2"": 953, ""3"": 1042, ""4"": 1987, ""5"": 1229, ""6"": 474, ""7"": 501, ""8"": 468, ""9"": 1348}",0.10453119270608459,test,0.9754,2.535712042,2.535859958000003,0.25064112500000135,2.8102536250000014,0.9753999999999999,0.9752925016665442,"[0.1014, 0.1172, 0.102, 0.104, 0.096, 0.0982, 0.0948, 0.0948, 0.0936, 0.098]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean14.pt
clean15,clean15,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_1_round_4.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_1_round_4.pt,client_1,4,round_snapshot,clean,client_1,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,9016,"{""0"": 474, ""1"": 540, ""2"": 953, ""3"": 1042, ""4"": 1987, ""5"": 1229, ""6"": 474, ""7"": 501, ""8"": 468, ""9"": 1348}",0.08578700126266815,test,0.9816,2.7866871670000037,2.786929917000002,0.4049666669999965,3.2115874160000004,0.9815999999999999,0.9747762292492068,"[0.092, 0.1194, 0.108, 0.097, 0.104, 0.0932, 0.094, 0.0992, 0.0926, 0.1006]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean15.pt
clean16,clean16,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_1.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_1.pt,client_1,10,final_snapshot,clean,client_1,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,9016,"{""0"": 474, ""1"": 540, ""2"": 953, ""3"": 1042, ""4"": 1987, ""5"": 1229, ""6"": 474, ""7"": 501, ""8"": 468, ""9"": 1348}",0.03937807606375763,test,0.9842,2.6204028750000035,2.6205944579999993,0.30414704199999676,2.9488052089999996,0.9842000000000001,0.9843785902885186,"[0.0996, 0.1046, 0.107, 0.0976, 0.1052, 0.0962, 0.0958, 0.1052, 0.0898, 0.099]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean16.pt
clean17,clean17,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_1_round_10.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_1_round_10.pt,client_1,10,round_snapshot,clean,client_1,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,9016,"{""0"": 474, ""1"": 540, ""2"": 953, ""3"": 1042, ""4"": 1987, ""5"": 1229, ""6"": 474, ""7"": 501, ""8"": 468, ""9"": 1348}",0.03937807606375763,test,0.9842,2.6782020839999987,2.6786973749999987,0.38947166700000224,3.0941391669999945,0.9842000000000001,0.9843785902885186,"[0.0996, 0.1046, 0.107, 0.0976, 0.1052, 0.0962, 0.0958, 0.1052, 0.0898, 0.099]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean17.pt
clean18,clean18,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_2.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_2.pt,client_2,10,final_snapshot,clean,client_2,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,15633,"{""0"": 474, ""1"": 539, ""2"": 1351, ""3"": 1962, ""4"": 623, ""5"": 1228, ""6"": 4024, ""7"": 501, ""8"": 3979, ""9"": 952}",0.040146297440159975,test,0.9886,2.906431334000004,2.9067230839999993,0.2890415000000033,3.2148292079999976,0.9886000000000001,0.9822020049633566,"[0.099, 0.1036, 0.1044, 0.1014, 0.1034, 0.0942, 0.0982, 0.1034, 0.0922, 0.1002]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean18.pt
clean19,clean19,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_3.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_3.pt,client_3,10,final_snapshot,clean,client_3,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,11240,"{""0"": 4028, ""1"": 539, ""2"": 1350, ""3"": 1042, ""4"": 623, ""5"": 868, ""6"": 473, ""7"": 501, ""8"": 468, ""9"": 1348}",0.03938521304040809,test,0.9786,3.005080124999999,3.0053157919999975,0.28389008300000285,3.3105859589999937,0.9785999999999999,0.9769716205822291,"[0.1004, 0.1034, 0.1026, 0.1098, 0.1002, 0.0944, 0.097, 0.0996, 0.0902, 0.1024]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean19.pt
clean20,clean20,clean_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL/artifacts/mnist_fl_baseline_5clients_run,client_4.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/clean/client_4.pt,client_4,10,final_snapshot,clean,client_4,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,clean_mnist,clean,12410,"{""0"": 473, ""1"": 539, ""2"": 1350, ""3"": 1042, ""4"": 1986, ""5"": 867, ""6"": 473, ""7"": 4260, ""8"": 468, ""9"": 952}",0.04670770612986969,test,0.9876,2.8522906670000054,2.852570582999988,0.26911325000000375,3.1396037089999993,0.9875999999999999,0.9878868953191046,"[0.0992, 0.1038, 0.106, 0.0998, 0.102, 0.0946, 0.0982, 0.1064, 0.0894, 0.1006]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/clean20.pt
translate1,translate1,corrupt_fl,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/translate,client_0_round_1.pt,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/FL_C/artifacts/federated_artifact_corrupt/translate/clients/client_0_round_1.pt,client_0,1,round_snapshot,translate,client_0,digit_classification,mnist_image,1x28x28,digit_label,digits_0_9,10,mnist_c_translate,translate,5303,"{""0"": 1007, ""1"": 432, ""2"": 382, ""3"": 327, ""4"": 795, ""5"": 922, ""6"": 671, ""7"": 287, ""8"": 208, ""9"": 272}",0.9459947663403693,test,0.8962,2.2246995420000104,2.2249221670000026,0.22270266700000718,2.4809404589999957,0.8962,0.9433734225359336,"[0.1164, 0.1178, 0.1088, 0.0906, 0.0994, 0.0996, 0.0954, 0.0964, 0.071, 0.1046]",/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/traditional adaptive composition techniques/client_profiles/weights/translate1.pt
